,brand,name,category
0,gallo,ecco-domani174,alcohol
1,fresh-craft-co.,fresh-craft174,alcohol
2,1000-stories,1000-stories174,alcohol
4,wine-cube153,pink-moscato,wine
5,becks-na,becks174-non,beer
6,gallo,apothic174-red,alcohol
8,california-roots,california-roots,wine
9,charles-charles,charles-charles174,alcohol
10,fancy-pants,fancy-pants174,alcohol
11,martini-rossi,martini-rossi174,wine
12,603-brewery,603174-winni,alcohol
13,603-brewery,603174-white,alcohol
15,coppola,sofia-coppola174,alcohol
17,sancho-libre,sancho-libre174,alcohol
18,modern-house-wines,modern-house174,wine
19,estancia,estancia174-cabernet,alcohol
20,voga-italia,voga-italia174,alcohol
21,michelob-ultra,michelob174-ultra,beer
22,wine-cube153,cabernet-shiraz,wine
23,wine-cube153,cabernet-sauvignon,wine
24,risata,risata174-moscato,alcohol
25,barefoot,barefoot174-refresh,alcohol
26,tecate,tecate174-beer,beer
27,bud-light,bud-light174,alcohol
29,middle-sister,middle-sister174,alcohol
30,robert-mondavi-winery,robert-mondavi,wine
31,wine-cube153,riesling--,wine
32,risata,risata174-pink,alcohol
34,love-noir,love-noir174,alcohol
35,handsome-devil,handsome-devil174,alcohol
36,apothic,apothic174-white,alcohol
37,wine-cube153,pinot-noir,wine
39,promisqous,promisqous174-red,alcohol
40,wine-cube153,chardonnay--,wine
41,wine-cube153,red-blend,wine
42,wine-cube153,sauvignon-blanc,wine
47,disaronno,disaronno174-almond,alcohol
48,wine-cube153,pinot-grigio,wine
52,beringer,beringer174-be.,alcohol
54,josh-cellars,josh-cellars174,alcohol
55,coppola,sofia-rose,alcohol
57,strongbow,strongbow174-gold,cider
58,spikedseltzer,spiked-seltzer174,alcohol
59,truly-spiked-sparkling,truly174-colima,alcohol
60,cupcake-vineyards,cupcake-vineyards174,alcohol
61,truly-spiked-sparkling,truly174-grapefruit,alcohol
62,margaritaville,cayman-jack174,alcohol
63,george-killians,george-killians174,alcohol
64,entwine,entwine174-cabernet,wine
65,la-marca,la-marca174,alcohol
66,gallo,alamos174-malbec,alcohol
67,bogle-vineyards,bogle-vineyards174,alcohol
68,black-box,black-box174,alcohol
71,jim-beam,jim-beam174,whiskey
94,yellow-tail,yellow-tail174,alcohol
95,el-jimador,el-jimador174,tequila
96,basil-haydens,basil-haydens174,alcohol
100,cooks-california-champagne,cooks174-brut,alcohol
101,menage-a-trois,menage-a,alcohol
102,gallo,barefoot174-riesling,alcohol
103,davinci,davinci174-chianti,alcohol
104,sauza,hornitos-reposado,tequila
108,pinnacle,pinnacle174-whipped,vodka
114,skinnygirl,skinnygirl174-original,gin
115,mirassou,mirassou174-pinot,alcohol
116,seagrams,seagrams174-escapes,alcohol
121,apothic,apothic174-dark,alcohol
123,rumchata,rumchata174-caribbean,rum
124,sauza,sauza174-silver,tequila
125,corona-extra,corona-extra174,beer
126,bud-light,bud-light174,beer
127,absolut,absolut174-mandarin,vodka
131,schmitt-sohne-family-wines,schmitt-sohne174,wine
132,blue-moon,blue-moon174,alcohol
133,kinky,kinky174-fruit,alcohol
134,corona-light,corona-light174,beer
144,chateau-ste-michelle,chateau-ste,alcohol
145,leinenkugels,leinenkugels174-sunset,beer
146,sierra-nevada,sierra-nevada174,beer
148,new-belgium,new-belgium174,alcohol
149,smirnoff,smirnoff174-ice,alcohol
150,jim-beam,jim-beam,whiskey
172,heineken,heineken174-lager,alcohol
176,effen,effen174-black,vodka
180,sauza,sauza174-gold,tequila
182,gallo,starborough174-sauvignon,alcohol
205,pinnacle,pinnacle-original,gin
209,sammys-beach-bar,sammys-beach,rum
210,miller-genuine-draft,miller-genuine,beer
211,lolailo,lolailo174-red,alcohol
218,diseno,diseno174-malbec,alcohol
219,frontera,frontera174-cabernet/merlot,alcohol
224,rolling-rock,rolling-rock174,beer
225,small-town-brewery,not-your,alcohol
229,14-hands-winery,14-hands174,wine
230,meiomi,meiomi174-pinot,alcohol
237,19-crimes,19-crimes174,alcohol
239,sauza,horintos-plata,tequila
247,fetzer-valley-oaks,fetzer174-gewurztraminer,alcohol
248,sierra-nevada,sierra-nevada174,alcohol
250,trump-winery,trump174-chardonnay,rum
251,columbia-crest,columbia-crest174,alcohol
254,wild,wild174-blue,alcohol
256,kendall-jackson,kendall-jackson-vintners,alcohol
264,gallo,barefoot174-moscato,wine
266,blackstone-winemakers-select,blackstone174-merlot,wine
267,riunite,riunite174-lambrusco,alcohol
271,carnivor,carnivor174-cabernet,alcohol
272,bartenura,bartenura174-moscato,alcohol
273,luccio,luccio174-moscato,alcohol
276,cruz-garcia,cruz-garcia174,alcohol
277,stella-artois,stella-artois174,alcohol
279,dailys,dailys174-frozen,alcohol
282,roscato,roscato174-sweet,alcohol
288,patron,patron174-silver,tequila
296,moet-chandon,moet-chandon174,alcohol
297,scales,scales-margarita,alcohol
304,zatarains,zatarains174-root,beer
306,oreo,oreo-hot,alcohol
308,master-of-mixes,master-of,alcohol
349,powell-mahoney,powell-mahoney174,alcohol
350,mr.-&-mrs.-t,mr-_,alcohol
352,cocktail-artist,cocktail-artist,alcohol
383,pongcaddie,beer-pong,beer
384,fee-brothers,fee-brothers,alcohol
385,zing-zang,zing-zang,alcohol
445,solana-agave,solana-agave,tequila
447,crown-royal,crown-royal,whiskey
448,bella-bolle,bella-bolle,wine
462,jamaican-country-style,jcs-reggae,beer
464,carlo-rossi,carlo-rossi,wine
489,stirrings,stirrings-cocktail,alcohol
491,mr.-&-mrs.-t,mr-_,gin
495,stirrings,stirrings-watermelon,alcohol
496,motts,clamato-original,gin
561,coco-real,coco-real174,alcohol
562,peychauds,peychauds-aromatic,alcohol
623,la-marca,la-marca,wine
624,knob-creek,knob-creek,whiskey
637,admiral-nelson,admiral-nelson,rum
638,martini-&-rossi,martini-_,wine
640,bartles-&-jaymes,bartles-_,alcohol
641,boomchugalug,switchblade-jack,beer
658,goya-food,malta-goya,alcohol
676,chefs-finest,chefs-finest,alcohol
682,jim-beam-black,jim-beam,whiskey
695,gerrit-verburg,gerrit-verburg,wine
707,canada-dry,canada-dry,gin
730,mr.-brown,mr.-brown,alcohol
731,coles,coles-cheese,alcohol
738,modern-cocktail,modern-cocktail,alcohol
743,roses,roses-cocktail,alcohol
747,goya-food,goya-ginger,beer
748,bar-s,bar-s-bun,alcohol
760,liberty-creek,liberty-creek,wine
761,brand-castle,goslings-diet,beer
768,oak-leaf,oak-leaf,wine
769,hornitos,sauza-hornitos,tequila
787,stella-rosa,stella-rosa,wine
788,sauza,sauza-tequila,tequila
791,homebrewstuff,irish-red,beer
793,online,biosilk-hydrating,alcohol
797,pat-obriens,pat-obriens,alcohol
802,angostura,angostura-aromatic,alcohol
804,great-value,great-value,alcohol
860,rockdale,rockdale-light,beer
862,hornitos,hornitos-reposado,tequila
865,effen,effen-cucumber,vodka
867,virgils,***discontinued***virgils-bg19411,beer
870,trouble-brewing,trouble-brewing,alcohol
871,sauza,hornitos-plata,tequila
878,budweiser,budweiser-lager,beer
879,powerblanket-ice,beer-keg,beer
881,urban-moonshine,urban-moonshine,gin
883,dirty-sue,dirty-sue,alcohol
941,dailys,dailys-margarita,alcohol
942,american-beverage,big-bucket,alcohol
949,fever-tree,fever-tree174,alcohol
962,cobblestone-bread-co.,cobblestone-bread,gin
973,woodbridge,woodbridge-by,wine
1011,jose-cuervo,jose-cuervo,gin
1015,pain-is-good,pain-is,alcohol
1018,bud-liight-lime,bud-light,alcohol
1019,pinnacle,pinnacle-whipped,vodka
1033,jack-daniels,jack-daniels,whiskey
1054,schweppes,schweppes-diet,alcohol
1069,apothic,apothic-red,wine
1080,jose-cuervo,jose-cuervo174,alcohol
1127,angostura,16oz.-angostura,alcohol
1128,bittermens,bittermens-xocolatl,alcohol
1256,margaritaville,margaritaville-margarita,alcohol
1258,gmax,gmax-g144105,wine
1312,jim-beam,jim-beam,alcohol
1326,sauza,sauza-signature,tequila
1329,clos-du-bois,clos-du,wine
1330,mogen-david,mogen-david,wine
1335,duplin,duplin-carolina,wine
1345,jose-cuervo,jose-cuervo174,gin
1357,blue-moon,blue-moon®,alcohol
1361,cra-z-art,cra-z-art-sidewalk,alcohol
1363,margaritaville,margaritaville-mango,alcohol
1376,gmax,gmax-g144104,wine
1388,urban-moonshine,original-digestive,gin
1394,sams-choice,sams-choice,alcohol
1396,great-value,great-value,gin
1453,woodford-reserve,woodford-reserve,alcohol
1454,dsa,malbec-fontana,wine
1462,mr.-&-mrs.-t,mr-&,alcohol
1471,shasta,shasta-variety,alcohol
1475,de-wafelbakkers,de-wafelbakkers,alcohol
1503,regatta,regatta-artisanal,beer
1504,mr.-&-mrs.-t,mr-_,whiskey
1506,manischewitz,manischewitz-potato,alcohol
1507,kalamera,kalamera-12,wine
1518,fiber-choice,fiber-choice,alcohol
1543,brewcraft,fermtech-wine/beer,beer
1557,powell-&-mahoney,powell-_,alcohol
1558,powell-&-mahoney,powell-_,gin
1561,belle,belle-red,wine
1562,bagel-bites,ore-ida174-bagel,alcohol
1565,coco-real,coco-real,alcohol
1567,motts-inc.,mr-_,gin
1575,regans,regans-orange,alcohol
1583,angostura,angostura-orange,alcohol
1590,helados-mexico,helados-mexico,alcohol
1592,brisk,brisk174-raspberry,alcohol
1599,home-brew-ohio,plain-gold,beer
1606,home-brew-ohio,cote-des,wine
1620,alstertor,alstertor-mustard,alcohol
1628,carmex,carmex-lip,gin
2673,les-trois-petits-cochons,dry-cured,alcohol
2674,goya-food,goya-cooking,wine
2682,roland,don-bruno,alcohol
2683,vita,vita-wild,wine
2684,home-brew-ohio,pasteur-red,wine
2702,up-up153,lubricant-eye,alcohol
2703,silver-spring,silver-spring,beer
2707,vintage-wine-estates,sh-11/13,wine
2709,home-brew-ohio,pectic-enzyme,alcohol
2735,vintage-wine-estates,vintage-wine,wine
2742,picketts,picketts-#1,beer
2753,fever-tree,fever-tree,beer
2785,briess,rye-malt,alcohol
2797,trademark-innovations,trademark-innovations,alcohol
2808,vintage-wine-estates,sh11/13-vintage,wine
2811,kool-aid,kool-aid-bursts,alcohol
2814,melitta,melitta-café,alcohol
2816,"american-euro-foods,-llc",bellei-white,wine
2829,home-brew-ohio,1-lb.,beer
